adjective	noun	log_phrase_frequency	log_adjective_frequency	log_noun_frequency	class
adjacent	nation	7.11	23.04	24.74	high_frequency
ambitious	library	7.81	21.55	25.33	high_frequency
artificial	home	7.7	22.48	28.37	high_frequency
awesome	valley	7.09	23.29	22.64	high_frequency
beloved	chicken	7.59	21.78	23.16	high_frequency
beneficial	sun	7.07	22.59	24.38	high_frequency
biological	garden	7.23	23.43	24.25	high_frequency
bold	rose	7.65	22.8	23.67	high_frequency
burning	palace	7.99	23.25	21.54	high_frequency
cooling	floor	7.56	22.63	24.99	high_frequency
cycling	town	7.75	21.85	25.42	high_frequency
destructive	baby	7.22	21.43	25.17	high_frequency
downstream	field	7.42	21.57	26.41	high_frequency
emerging	road	7.95	23.03	25.36	high_frequency
endless	cloud	8.08	21.96	22.42	high_frequency
engaged	father	7.21	23.49	24.92	high_frequency
failing	hotel	6.9	22.46	26.58	high_frequency
gentle	snake	6.85	22.27	21.56	high_frequency
governing	village	7.84	22.74	23.99	high_frequency
grounded	world	7.29	21.66	27.64	high_frequency
hanging	dress	7.28	22.77	23.68	high_frequency
hazardous	car	7.42	22.7	26.68	high_frequency
inspiring	college	6.91	21.46	25.39	high_frequency
instructional	kitchen	6.97	22.16	24.17	high_frequency
insured	truck	7.27	22.28	23.84	high_frequency
invisible	mouth	7.58	22.01	24.18	high_frequency
jumping	cow	7.43	21.72	22.02	high_frequency
literary	radio	8	22.57	25.28	high_frequency
magnificent	plane	7.93	21.93	23.72	high_frequency
metallic	wheel	7.12	21.43	23.71	high_frequency
patented	bottle	7.83	21.44	23.31	high_frequency
premature	tree	6.96	21.42	25.01	high_frequency
provincial	street	6.85	22.33	25.01	high_frequency
refurbished	engine	7.88	21.41	25.34	high_frequency
rejected	picture	7.09	22.92	26.16	high_frequency
rolled	bread	8.08	22.32	22.98	high_frequency
specialized	pool	8.02	22.9	24.77	high_frequency
stainless	key	6.98	22.67	26.37	high_frequency
sterling	cup	7.42	22.11	23.99	high_frequency
sticky	book	7.02	21.45	27.28	high_frequency
stolen	jacket	7.24	22.35	22.66	high_frequency
striking	beach	7.77	22.37	24.62	high_frequency
surfing	market	7.26	21.95	26.66	high_frequency
surprised	cat	7.48	23.21	24.09	high_frequency
teenage	king	7.25	23.18	23.74	high_frequency
tough	bear	7.12	23.38	23.88	high_frequency
toxic	stream	7.09	22.5	24.9	high_frequency
versatile	ball	7.15	21.83	24.45	high_frequency
adjustable	anvil	6.84	22.45	18.11	low_frequency
bald	vulture	6.87	22	17.52	low_frequency
bitter	pecan	7.97	21.76	18.21	low_frequency
blind	owl	7.68	23.27	20.54	low_frequency
brilliant	sleuth	6.84	22.83	17.05	low_frequency
circular	parasol	7.24	22.01	16.87	low_frequency
complementary	valet	7.42	21.64	19.13	low_frequency
copper	altar	8.05	22.7	20.77	low_frequency
crowded	isle	7.14	21.43	19.24	low_frequency
cute	otter	7.02	23.4	18.49	low_frequency
deadly	dungeon	7.82	21.83	19.65	low_frequency
decorative	gourd	7.86	21.75	17.9	low_frequency
delicate	sequin	7.61	21.71	18.26	low_frequency
dried	eel	7.52	22.14	18.76	low_frequency
elegant	lily	7.22	22.67	20.14	low_frequency
expanding	cavern	7.53	22.87	19.75	low_frequency
extraordinary	gem	7.04	22.64	21.17	low_frequency
fake	cobra	6.8	22.74	19.41	low_frequency
fancy	loft	7.3	22.21	20.27	low_frequency
golden	plum	7.82	22.92	19.75	low_frequency
grey	bonnet	7.9	22.52	18.97	low_frequency
handsome	wizard	7.81	21.44	21.64	low_frequency
indigenous	spa	7.19	22.12	22.52	low_frequency
lively	lass	6.89	21.54	18.45	low_frequency
miniature	tripod	7.97	21.44	20.31	low_frequency
nasty	beggar	6.96	22.28	18.31	low_frequency
occasional	jaguar	6.76	22.26	18.88	low_frequency
offshore	wharf	6.82	22.33	18.77	low_frequency
ordinary	flea	7.43	23.43	20.21	low_frequency
polished	flask	7.76	21.66	19.14	low_frequency
portable	keg	6.85	23.47	18.24	low_frequency
relaxing	harp	7.4	21.91	19.91	low_frequency
robust	vine	7.07	22.52	20.15	low_frequency
sacred	urn	7.96	22.06	19.83	low_frequency
shallow	crevice	7.18	21.86	17.41	low_frequency
silly	dwarf	7.38	22.27	20.35	low_frequency
slim	vase	7.93	21.89	20.57	low_frequency
spinning	galaxy	7.35	21.4	21.21	low_frequency
stuffed	boar	7.24	21.4	18.68	low_frequency
stylish	yacht	7.45	22.88	20.97	low_frequency
tan	tunic	7.28	21.59	18.52	low_frequency
thin	tablet	7.31	23.42	21.77	low_frequency
tropical	olive	7.8	22.66	21.8	low_frequency
vintage	banjo	7.99	22.98	19.51	low_frequency
wooden	silo	7.01	22.76	18.32	low_frequency
yearly	monsoon	7.41	21.83	19.09	low_frequency